"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-13","7.61",,"1.61","0.0","0.0",,"53","45","   50","   50","18.1","31.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-14","5.37",,"0.02","0.0","0.0",,"67","46","  310","  290","15.0","30.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-15","8.95",,"0.00","0.0","0.0",,"68","53","  300","  310","18.1","34.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-16","4.25",,"0.00","0.0","0.0",,"79","56","  300","  290","12.1","18.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-17","5.59",,"0.00","0.0","0.0",,"90","65","  250","  240","12.1","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-18","5.59",,"0.00","0.0","0.0",,"92","75","  250","  200","14.1","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-19","6.26",,"0.00","0.0","0.0",,"91","66","   40","   40","16.1","25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-20","4.03",,"0.01","0.0","0.0",,"65","55","   60","   60","16.1","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-21","4.03",,"0.00","0.0","0.0",,"69","52","  170","  170","12.1","19.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-22","2.68",,"0.59","0.0","0.0",,"61","53","  140","  140","10.1","16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-23","2.24",,"0.00","0.0","0.0",,"69","56","   20","   20","10.1","15.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-24","4.92",,"0.04","0.0","0.0",,"69","56","   60","   80","14.1","19.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-25","8.05",,"0.58","0.0","0.0",,"59","56","   50","   80","16.1","28.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-26","4.92",,"0.10","0.0","0.0",,"73","56","  290","  270","16.1","25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-27","3.13",,"0.00","0.0","0.0",,"71","59","  120","  290","8.1","13.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-28","4.47",,"0.00","0.0","0.0",,"71","58","  160","  170","12.1","21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-29","5.14",,"0.13","0.0","0.0",,"61","56","   60","   80","12.1","14.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-30","2.68",,"0.06","0.0","0.0",,"60","55","  160","  150","12.1","17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-05-31","2.46",,"0.03","0.0","0.0",,"75","58","   60","   50","12.1","17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-06-01","3.80",,"0.00","0.0","0.0",,"79","59","  280","  270","13.0","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-06-02","4.47",,"0.01","0.0","0.0",,"76","57","  280","  260","16.1","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-06-03","3.58",,"0.01","0.0","0.0",,"73","55","  300","  320","13.0","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-06-04","2.24",,"0.09","0.0","0.0",,"70","56","  180","  150","8.1","14.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-06-05","4.92",,"0.02","0.0","0.0",,"67","58","   70","   60","16.1","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-06-06","7.16",,"0.06","0.0","0.0",,"58","52","   80","   80","13.0","23.0"
